,0
2022-08-30,0.003655894656556802
2022-08-31,-0.014807951645442574
2022-09-01,8.093445606816019e-06
2022-09-02,0.005022989000763589
2022-09-05,0.00476921731649238
2022-09-06,0.009190403860937835
2022-09-07,-0.004479425299837025
2022-09-08,-0.00291110103361647
2022-09-09,0.003011224353588249
2022-09-13,0.002302747545109396
2022-09-14,-0.006716163968124245
2022-09-15,-0.013101066594075284
2022-09-16,-0.02393193073568356
2022-09-19,-0.008692767851211647
2022-09-20,0.00596664416151782
2022-09-21,0.0033077046019576173
2022-09-22,-0.0077243619564939525
2022-09-23,-0.013585326587370883
2022-09-26,-0.014695778171116336
2022-09-27,0.02183197376510182
2022-09-28,-0.018993141879141584
2022-09-29,0.0009233953610341405
2022-09-30,-0.013162211954758973
2022-10-10,-0.01452462570390245
