trade_date,sec_code,weight
2015-02-25,000981.SZ,0.010416666666666666
2015-02-25,001914.SZ,0.010416666666666666
2015-02-25,002001.SZ,0.010416666666666666
2015-02-25,002003.SZ,0.010416666666666666
2015-02-25,002014.SZ,0.010416666666666666
2015-02-25,002032.SZ,0.010416666666666666
2015-02-25,002075.SZ,0.010416666666666666
2015-02-25,002158.SZ,0.010416666666666666
2015-02-25,002187.SZ,0.010416666666666666
2015-02-25,002210.SZ,0.010416666666666666
2015-02-25,002226.SZ,0.010416666666666666
2015-02-25,002242.SZ,0.010416666666666666
2015-02-25,002275.SZ,0.010416666666666666
2015-02-25,002305.SZ,0.010416666666666666
2015-02-25,002356.SZ,0.010416666666666666
2015-02-25,002372.SZ,0.010416666666666666
2015-02-25,002377.SZ,0.010416666666666666
2015-02-25,002419.SZ,0.010416666666666666
